                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5464,                  2.237,                 1.9233,                0.57979,                0.20202,                 0.4723,                0.14165,                 2.0439,                 3.2806,                 2.6192,             0.00065385,             0.00065385,             0.00065385
                      2,                 1.5135,                 1.8843,                 1.8448,                0.17713,                0.25203,                0.12661,                0.03222,                  2.492,                 4.0025,                  4.089,              0.0012682,              0.0012682,              0.0012682
                      3,                 1.5334,                 1.7765,                 1.8872,                0.42468,                0.53115,                 0.4304,                0.13743,                 2.1772,                 2.5876,                 2.7736,              0.0018298,              0.0018298,              0.0018298
                      4,                 1.4995,                 1.6649,                 1.8253,                0.57829,                0.43485,                 0.4021,                0.11245,                 2.5631,                 2.1656,                 3.1489,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.4295,                 1.5364,                 1.7727,                0.62238,                0.44223,                0.43218,                0.14269,                 2.7192,                 1.9307,                 3.4263,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.3983,                 1.4513,                 1.7551,                0.70565,                0.70167,                0.70046,                0.19167,                 2.4165,                 2.0134,                 2.9356,               0.001604,               0.001604,               0.001604
                      7,                 1.3793,                 1.3633,                 1.7262,                0.54398,                0.67073,                0.57902,                0.20323,                 2.3943,                 1.7247,                 2.8752,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.3298,                  1.307,                 1.7011,                0.58955,                0.71951,                0.65582,                0.23009,                 2.4114,                 1.5241,                 2.8559,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.2755,                   1.23,                 1.6408,                0.65487,                0.67105,                0.72042,                0.20017,                 2.2874,                 1.6165,                 2.7999,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.2443,                 1.1523,                 1.6088,                  0.622,                0.73171,                0.72048,                0.25535,                 2.0364,                 1.5389,                 2.5308,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.2004,                  1.126,                 1.5617,                0.69379,                0.71843,                0.66232,                0.19247,                 2.4594,                 1.5164,                 3.1256,               0.001208,               0.001208,               0.001208
                     12,                 1.1704,                 1.0692,                 1.5576,                0.85468,                0.78903,                 0.8171,                0.34275,                 1.9825,                 1.2396,                 2.3974,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.1424,                  1.038,                   1.53,                0.89336,                 0.7439,                0.85437,                0.24857,                 2.3933,                 1.1713,                 3.0292,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.0979,                 0.9603,                 1.5047,                0.78634,                0.67073,                0.74789,                0.24297,                 2.4415,                 1.3757,                 3.1201,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.0607,                0.94839,                 1.4712,                0.79672,                0.76478,                0.79389,                0.26474,                 2.3164,                 1.3834,                 3.0647,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.3121,                 1.0528,                 1.9472,                0.71912,                0.60976,                0.62172,                0.19453,                 2.4517,                 1.5631,                 3.0412,               0.000812,               0.000812,               0.000812
                     17,                 1.2589,                0.91109,                 1.8771,                0.91535,                0.79119,                0.85518,                0.33357,                 1.9808,                 1.1355,                 2.4599,              0.0007328,              0.0007328,              0.0007328
                     18,                  1.189,                0.87712,                 1.8086,                0.92268,                0.87805,                0.93341,                  0.413,                 1.8449,                0.99306,                 2.2535,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.1479,                0.78928,                 1.7436,                0.87618,                0.77668,                0.84188,                0.32459,                 2.1668,                 1.0405,                  2.705,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.1179,                0.75353,                 1.7189,                0.85534,                0.81707,                0.86334,                0.36871,                 2.0457,                 1.0854,                 2.5531,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.0541,                0.71469,                 1.6464,                0.92163,                0.86055,                0.91001,                 0.3519,                 2.0537,                 1.0372,                 2.5308,               0.000416,               0.000416,               0.000416
                     22,                 1.0128,                0.69119,                 1.6308,                0.93551,                0.90244,                0.93823,                0.37581,                 2.1385,                0.97658,                 2.7105,              0.0003368,              0.0003368,              0.0003368
                     23,                0.98401,                0.65425,                 1.5838,                0.88831,                0.89024,                0.92178,                0.41103,                 1.8779,                0.94252,                 2.3492,              0.0002576,              0.0002576,              0.0002576
                     24,                 0.9339,                0.62194,                 1.5463,                0.96035,                0.87805,                0.94399,                0.43075,                 1.8976,                0.94371,                 2.3893,              0.0001784,              0.0001784,              0.0001784
                     25,                0.90589,                0.60219,                 1.5152,                0.93596,                0.89122,                0.94117,                0.43516,                 1.8444,                0.90903,                 2.3466,               9.92e-05,               9.92e-05,               9.92e-05
